Date,Ticker,Low,High,Prev. Close
12/12/2025,NVDA ,176,186,181
12/12/2025,ORCL ,187,212,199
12/15/2025,MSFT ,471,491,479
12/15/2025,AAPL ,273,287,278
12/15/2025,AMZN ,222,236,226
12/15/2025,META ,629,672,644
12/15/2025,GOOGL ,307,324,309
12/15/2025,NFLX ,87,99,95
12/15/2025,TSLA ,436,468,459
12/15/2025,NVDA ,171,183,175
12/15/2025,ORCL ,185,210,190
12/16/2025,MSFT ,469,489,475
12/16/2025,AAPL ,272,286,274
12/16/2025,AMZN ,217,232,223
12/16/2025,META ,631,672,648
12/16/2025,GOOGL ,305,325,308
12/16/2025,NFLX ,87,97,94
12/16/2025,TSLA ,439,480,475
12/16/2025,NVDA ,172,183,176
12/16/2025,ORCL ,180,207,185
12/17/2025,MSFT ,469,487,476
12/17/2025,AAPL ,272,283,275
12/17/2025,AMZN ,219,231,223
12/17/2025,META ,634,675,657
12/17/2025,GOOGL ,303,325,307
12/17/2025,NFLX ,88,98,95
12/17/2025,TSLA ,458,500,490
12/17/2025,NVDA ,172,182,178
12/17/2025,ORCL ,175,205,189
12/18/2025,MSFT ,467,485,476
12/18/2025,AAPL ,270,282,272
12/18/2025,AMZN ,216,228,221
12/18/2025,META ,635,673,650
12/18/2025,GOOGL ,291,329,297
12/18/2025,NFLX ,89,99,95
12/18/2025,TSLA ,445,590,467
12/18/2025,NVDA ,166,179,171
12/18/2025,ORCL ,166,199,178
12/19/2025,MSFT ,468,491,484
12/19/2025,AAPL ,270,283,272
12/19/2025,AMZN ,217,230,227
12/19/2025,META ,637,674,664
12/19/2025,GOOGL ,293,326,302
12/19/2025,NFLX ,90,98,94
12/19/2025,TSLA ,461,501,483
12/19/2025,NVDA ,167,181,174
12/19/2025,ORCL ,165,199,180
12/22/2025,MSFT ,469,492,486
12/22/2025,AAPL ,270,282,274
12/22/2025,AMZN ,218,232,227
12/22/2025,META ,639,675,659
12/22/2025,GOOGL ,296,324,307
12/22/2025,NFLX ,90,98,94
12/22/2025,TSLA ,455,501,481
12/22/2025,NVDA ,169,185,181
12/22/2025,ORCL ,163,208,192
12/23/2025,MSFT ,470,490,485
12/23/2025,AAPL ,267,281,271
12/23/2025,AMZN ,218,234,228
12/23/2025,META ,639,676,662
12/23/2025,GOOGL ,296,323,310
12/23/2025,NFLX ,90,97,93
12/23/2025,TSLA ,456,505,489
12/23/2025,NVDA ,170,187,184
12/23/2025,ORCL ,165,209,198
12/24/2025,MSFT ,471,491,487
12/24/2025,AAPL ,268,280,272
12/24/2025,AMZN ,221,235,232
12/24/2025,META ,640,675,665
12/24/2025,GOOGL ,297,323,314
12/24/2025,NFLX ,91,96,94
12/24/2025,TSLA ,457,505,486
12/24/2025,NVDA ,171,192,189
12/24/2025,ORCL ,172,205,195
12/26/2025,MSFT ,470,493,488
12/26/2025,AAPL ,268,279,274
12/26/2025,AMZN ,222,237,232
12/26/2025,META ,643,676,668
12/26/2025,GOOGL ,298,321,314
12/26/2025,NFLX ,91,96,94
12/26/2025,TSLA ,467,503,485
12/26/2025,NVDA ,179,193,189
12/26/2025,ORCL ,173,204,197
12/29/2025,MSFT ,471,494,488
12/29/2025,AAPL ,269,277,273
12/29/2025,AMZN ,221,237,233
12/29/2025,META ,644,675,663
12/29/2025,GOOGL ,296,322,314
12/29/2025,NFLX ,91,96,94
12/29/2025,TSLA ,465,500,475
12/29/2025,NVDA ,177,193,191
12/29/2025,ORCL ,174,204,198
12/30/2025,MSFT ,473,493,487
12/30/2025,AAPL ,270,278,274
12/30/2025,AMZN ,222,238,232
12/30/2025,META ,646,673,659
12/30/2025,GOOGL ,297,323,314
12/30/2025,NFLX ,92,96,94
12/30/2025,TSLA ,456,501,460
12/30/2025,NVDA ,179,197,188
12/30/2025,ORCL ,174,203,195
12/31/2025,MSFT ,474,492,487
12/31/2025,AAPL ,270,277,273
12/31/2025,AMZN ,223,237,233
12/31/2025,META ,649,674,666
12/31/2025,GOOGL ,300,323,314
12/31/2025,NFLX ,92,95,94
12/31/2025,TSLA ,450,489,454
12/31/2025,NVDA ,181,198,188
12/31/2025,ORCL ,175,204,197
1/2/2026,MSFT ,479,490,484
1/2/2026,AAPL ,270,276,272
1/2/2026,AMZN ,225,236,231
1/2/2026,META ,652,674,660
1/2/2026,GOOGL ,301,323,313
1/2/2026,NFLX ,92,95,94
1/2/2026,TSLA ,445,489,450
1/2/2026,NVDA ,180,196,187
1/2/2026,ORCL ,180,205,195
1/5/2026,MSFT ,470,485,473
1/5/2026,AAPL ,270,276,271
1/5/2026,AMZN ,224,236,227
1/5/2026,META ,648,667,650
1/5/2026,GOOGL ,305,323,315
1/5/2026,NFLX ,89,94,91
1/5/2026,TSLA ,431,488,438
1/5/2026,NVDA ,180,196,189
1/5/2026,ORCL ,181,196,196
1/6/2026,MSFT ,470,484,473
1/6/2026,AAPL ,265,277,267
1/6/2026,AMZN ,226,238,233
1/6/2026,META ,648,671,659
1/6/2026,GOOGL ,308,324,317
1/6/2026,NFLX ,88,93,91
1/6/2026,TSLA ,431,490,452
1/6/2026,NVDA ,182,195,188
1/6/2026,ORCL ,186,199,193
1/7/2026,MSFT ,469,486,479
1/7/2026,AAPL ,260,273,262
1/7/2026,AMZN ,229,243,241
1/7/2026,META ,649,672,661
1/7/2026,GOOGL ,310,321,314
1/7/2026,NFLX ,88,93,91
1/7/2026,TSLA ,421,459,433
1/7/2026,NVDA ,183,194,187
1/7/2026,ORCL ,189,199,194
1/8/2026,MSFT ,469,488,483
1/8/2026,AAPL ,257,269,260
1/8/2026,AMZN ,232,244,242
1/8/2026,META ,645,667,649
1/8/2026,GOOGL ,311,323,322
1/8/2026,NFLX ,88,96,91
1/8/2026,TSLA ,416,453,431
1/8/2026,NVDA ,185,193,189
1/8/2026,ORCL ,189,199,193
1/9/2026,MSFT ,468,488,478
1/9/2026,AAPL ,254,268,259
1/9/2026,AMZN ,234,249,246
1/9/2026,META ,641,660,646
1/9/2026,GOOGL ,311,329,325
1/9/2026,NFLX ,88,95,91
1/9/2026,TSLA ,418,459,436
1/9/2026,NVDA ,183,192,185
1/9/2026,ORCL ,186,198,190
1/12/2026,MSFT ,467,488,479
1/12/2026,AAPL ,252,268,259
1/12/2026,AMZN ,234,251,247
1/12/2026,META ,641,668,653
1/12/2026,GOOGL ,313,331,329
1/12/2026,NFLX ,87,94,89
1/12/2026,TSLA ,422,458,445
1/12/2026,NVDA ,182,192,185
1/12/2026,ORCL ,186,201,199
1/13/2026,MSFT ,467,485,477
1/13/2026,AAPL ,252,269,260
1/13/2026,AMZN ,235,253,246
1/13/2026,META ,638,661,642
1/13/2026,GOOGL ,315,335,332
1/13/2026,NFLX ,87,93,89
1/13/2026,TSLA ,425,460,449
1/13/2026,NVDA ,182,190,185
1/13/2026,ORCL ,184,208,205
1/14/2026,MSFT ,466,485,471
1/14/2026,AAPL ,253,268,261
1/14/2026,AMZN ,234,254,243
1/14/2026,META ,629,653,631
1/14/2026,GOOGL ,322,341,336
1/14/2026,NFLX ,87,93,90
1/14/2026,TSLA ,430,458,447
1/14/2026,NVDA ,183,191,186
1/14/2026,ORCL ,185,207,202
1/15/2026,MSFT ,456,476,459
1/15/2026,AAPL ,251,267,260
1/15/2026,AMZN ,231,251,237
1/15/2026,META ,611,648,616
1/15/2026,GOOGL ,318,344,336
1/15/2026,NFLX ,86,92,89
1/15/2026,TSLA ,426,455,439
1/15/2026,NVDA ,181,190,183
1/15/2026,ORCL ,185,198,194
1/16/2026,MSFT ,453,471,457
1/16/2026,AAPL ,252,266,258
1/16/2026,AMZN ,232,252,238
1/16/2026,META ,608,647,621
1/16/2026,GOOGL ,319,345,333
1/16/2026,NFLX ,86,91,88
1/16/2026,TSLA ,424,455,439
1/16/2026,NVDA ,183,191,187
1/16/2026,ORCL ,182,199,190
1/20/2026,MSFT ,450,471,460
1/20/2026,AAPL ,250,261,256
1/20/2026,AMZN ,230,250,239
1/20/2026,META ,603,644,620
1/20/2026,GOOGL ,315,342,330
1/20/2026,NFLX ,84,93,88
1/20/2026,TSLA ,420,450,438
1/20/2026,NVDA ,180,190,186
1/20/2026,ORCL ,181,198,191
1/21/2026,MSFT ,445,470,455
1/21/2026,AAPL ,245,257,247
1/21/2026,AMZN ,228,252,231
1/21/2026,META ,596,635,604
1/21/2026,GOOGL ,315,340,322
1/21/2026,NFLX ,80,90,87
1/21/2026,TSLA ,411,446,419
1/21/2026,NVDA ,171,186,178
1/21/2026,ORCL ,174,194,180
1/22/2026,MSFT ,440,466,444
1/22/2026,AAPL ,244,256,248
1/22/2026,AMZN ,228,247,231
1/22/2026,META ,594,639,613
1/22/2026,GOOGL ,322,341,328
1/22/2026,NFLX ,81,89,85
1/22/2026,TSLA ,413,444,431
1/22/2026,NVDA ,177,187,183
1/22/2026,ORCL ,171,190,174
1/23/2026,MSFT ,436,469,451
1/23/2026,AAPL ,242,256,248
1/23/2026,AMZN ,226,247,234
1/23/2026,META ,594,661,648
1/23/2026,GOOGL ,321,339,331
1/23/2026,NFLX ,81,88,84
1/23/2026,TSLA ,419,467,449
1/23/2026,NVDA ,178,190,185
1/23/2026,ORCL ,168,189,178
1/26/2026,MSFT ,439,472,466
1/26/2026,AAPL ,240,258,248
1/26/2026,AMZN ,229,248,239
1/26/2026,META ,592,664,659
1/26/2026,GOOGL ,320,340,328
1/26/2026,NFLX ,82,89,86
1/26/2026,TSLA ,420,464,449
1/26/2026,NVDA ,179,191,188
1/26/2026,ORCL ,165,188,177
1/27/2026,MSFT ,440,475,470
1/27/2026,AAPL ,243,260,255
1/27/2026,AMZN ,229,246,238
1/27/2026,META ,590,677,672
1/27/2026,GOOGL ,322,342,333
1/27/2026,NFLX ,82,89,86
1/27/2026,TSLA ,418,451,435
1/27/2026,NVDA ,179,191,186
1/27/2026,ORCL ,165,191,182
1/28/2026,MSFT ,444,484,481
1/28/2026,AAPL ,242,263,258
1/28/2026,AMZN ,231,249,245
1/28/2026,META ,591,681,673
1/28/2026,GOOGL ,323,342,335
1/28/2026,NFLX ,82,88,86
1/28/2026,TSLA ,414,449,431
1/28/2026,NVDA ,180,193,189
1/28/2026,ORCL ,166,190,175
1/29/2026,MSFT ,432,483,482
1/29/2026,AAPL ,241,261,256
1/29/2026,AMZN ,232,249,243
1/29/2026,META ,605,730,669
1/29/2026,GOOGL ,324,346,336
1/29/2026,NFLX ,81,88,85
1/29/2026,TSLA ,421,467,431
1/29/2026,NVDA ,183,196,192
1/29/2026,ORCL ,166,189,173
1/30/2026,MSFT ,426,461,434
1/30/2026,AAPL ,242,262,258
1/30/2026,AMZN ,231,249,242
1/30/2026,META ,664,758,738
1/30/2026,GOOGL ,325,345,338
1/30/2026,NFLX ,81,87,83
1/30/2026,TSLA ,392,442,417
1/30/2026,NVDA ,183,197,193
1/30/2026,ORCL ,163,182,169
2/2/2026,MSFT ,420,458,430
2/2/2026,AAPL ,244,262,259
2/2/2026,AMZN ,231,247,239
2/2/2026,META ,660,750,717
2/2/2026,GOOGL ,324,344,338
2/2/2026,NFLX ,81,87,83
2/2/2026,TSLA ,399,448,430
2/2/2026,NVDA ,182,195,191
2/2/2026,ORCL ,160,181,165
2/3/2026,MSFT ,410,453,423
2/3/2026,AAPL ,246,274,270
2/3/2026,AMZN ,232,248,243
2/3/2026,META ,663,747,706
2/3/2026,GOOGL ,325,350,344
2/3/2026,NFLX ,80,86,83
2/3/2026,TSLA ,408,445,422
2/3/2026,NVDA ,180,194,186
2/3/2026,ORCL ,156,182,160
2/4/2026,MSFT ,396,448,411
2/4/2026,AAPL ,258,274,269
2/4/2026,AMZN ,233,247,239
2/4/2026,META ,667,744,692
2/4/2026,GOOGL ,326,349,340
2/4/2026,NFLX ,77,84,80
2/4/2026,TSLA ,406,438,422
2/4/2026,NVDA ,176,186,180
2/4/2026,ORCL ,151,169,155
2/5/2026,MSFT ,391,442,414
2/5/2026,AAPL ,261,281,276
2/5/2026,AMZN ,228,249,233
2/5/2026,META ,643,739,669
2/5/2026,GOOGL ,323,347,333
2/5/2026,NFLX ,78,84,80
2/5/2026,TSLA ,393,430,406
2/5/2026,NVDA ,171,185,174
2/5/2026,ORCL ,141,165,147
2/6/2026,MSFT ,371,436,394
2/6/2026,AAPL ,262,282,276
2/6/2026,AMZN ,201,237,223
2/6/2026,META ,642,738,670
2/6/2026,GOOGL ,325,345,331
2/6/2026,NFLX ,77,84,81
2/6/2026,TSLA ,393,428,397
2/6/2026,NVDA ,169,183,172
2/6/2026,ORCL ,133,160,136
2/9/2026,MSFT ,370,431,401
2/9/2026,AAPL ,264,285,278
2/9/2026,AMZN ,202,232,210
2/9/2026,META ,635,710,661
2/9/2026,GOOGL ,320,345,323
2/9/2026,NFLX ,77,85,82
2/9/2026,TSLA ,394,430,411
2/9/2026,NVDA ,170,192,185
2/9/2026,ORCL ,131,159,143
2/10/2026,MSFT ,372,434,414
2/10/2026,AAPL ,265,285,275
2/10/2026,AMZN ,201,230,209
2/10/2026,META ,640,737,677
2/10/2026,GOOGL ,320,349,324
2/10/2026,NFLX ,78,84,81
2/10/2026,TSLA ,392,431,417
2/10/2026,NVDA ,172,193,190
2/10/2026,ORCL ,131,169,157
2/11/2026,MSFT ,387,435,413
2/11/2026,AAPL ,265,285,274
2/11/2026,AMZN ,197,226,207
2/11/2026,META ,638,711,671
2/11/2026,GOOGL ,312,349,319
2/11/2026,NFLX ,78,85,82
2/11/2026,TSLA ,396,435,425
2/11/2026,NVDA ,175,195,189
2/11/2026,ORCL ,132,170,160
2/12/2026,MSFT ,388,430,404
2/12/2026,AAPL ,267,284,276
2/12/2026,AMZN ,191,221,204
2/12/2026,META ,642,701,669
2/12/2026,GOOGL ,305,345,311
2/12/2026,NFLX ,76,84,80
2/12/2026,TSLA ,395,436,428
2/12/2026,NVDA ,172,193,190
2/12/2026,ORCL ,133,168,157
2/13/2026,MSFT ,387,424,402
2/13/2026,AAPL ,260,272,262
2/13/2026,AMZN ,186,216,200
2/13/2026,META ,639,693,650
2/13/2026,GOOGL ,301,343,309
2/13/2026,NFLX ,73,82,76
2/13/2026,TSLA ,395,431,417
2/13/2026,NVDA ,171,192,187
2/13/2026,ORCL ,134,167,156
2/17/2026,MSFT ,388,418,401
2/17/2026,AAPL ,252,271,256
2/17/2026,AMZN ,184,212,199
2/17/2026,META ,631,690,640
2/17/2026,GOOGL ,298,342,306
2/17/2026,NFLX ,73,82,77
2/17/2026,TSLA ,395,428,417
2/17/2026,NVDA ,170,190,183
2/17/2026,ORCL ,135,169,160
2/18/2026,MSFT ,389,414,397
2/18/2026,AAPL ,254,271,264
2/18/2026,AMZN ,186,211,201
2/18/2026,META ,630,675,639
2/18/2026,GOOGL ,291,322,302
2/18/2026,NFLX ,73,82,77
2/18/2026,TSLA ,394,426,411
2/18/2026,NVDA ,171,192,185
2/18/2026,ORCL ,135,167,154
2/19/2026,MSFT ,389,413,399
2/19/2026,AAPL ,253,270,264
2/19/2026,AMZN ,190,210,205
2/19/2026,META ,619,661,643
2/19/2026,GOOGL ,292,318,303
2/19/2026,NFLX ,73,82,78
2/19/2026,TSLA ,395,426,411
2/19/2026,NVDA ,173,193,188
2/19/2026,ORCL ,136,167,156
2/20/2026,MSFT ,389,412,398
2/20/2026,AAPL ,250,268,261
2/20/2026,AMZN ,192,210,205
2/20/2026,META ,622,664,645
2/20/2026,GOOGL ,291,319,303
2/20/2026,NFLX ,73,81,77
2/20/2026,TSLA ,397,426,412
2/20/2026,NVDA ,179,193,188
2/20/2026,ORCL ,137,166,157
2/23/2026,MSFT ,388,412,397
2/23/2026,AAPL ,252,267,265
2/23/2026,AMZN ,194,212,210
2/23/2026,META ,624,666,656
2/23/2026,GOOGL ,293,321,315
2/23/2026,NFLX ,73,82,79
2/23/2026,TSLA ,398,423,412
2/23/2026,NVDA ,181,194,190
2/23/2026,ORCL ,137,161,148
2/24/2026,MSFT ,381,401,384
2/24/2026,AAPL ,253,274,266
2/24/2026,AMZN ,194,210,205
2/24/2026,META ,623,663,637
2/24/2026,GOOGL ,294,318,311
2/24/2026,NFLX ,72,81,76
2/24/2026,TSLA ,394,416,400
2/24/2026,NVDA ,181,199,192
2/24/2026,ORCL ,136,155,141
2/25/2026,MSFT ,382,399,389
2/25/2026,AAPL ,256,277,272
2/25/2026,AMZN ,195,210,209
2/25/2026,META ,624,662,639
2/25/2026,GOOGL ,297,317,311
2/25/2026,NFLX ,73,81,78
2/25/2026,TSLA ,396,421,409
2/25/2026,NVDA ,178,199,193
2/25/2026,ORCL ,136,154,146
2/26/2026,MSFT ,383,405,401
2/26/2026,AAPL ,262,277,274
2/26/2026,AMZN ,194,215,211
2/26/2026,META ,627,660,654
2/26/2026,GOOGL ,298,317,313
2/26/2026,NFLX ,74,85,83
2/26/2026,TSLA ,397,424,417
2/26/2026,NVDA ,185,199,196
2/26/2026,ORCL ,136,158,148
2/27/2026,MSFT ,383,406,402
2/27/2026,AAPL ,261,278,273
2/27/2026,AMZN ,196,214,208
2/27/2026,META ,628,663,657
2/27/2026,GOOGL ,300,317,307
2/27/2026,NFLX ,76,93,85
2/27/2026,TSLA ,398,421,409
2/27/2026,NVDA ,178,193,185
2/27/2026,ORCL ,136,161,150
3/2/2026,MSFT ,382,405,393
3/2/2026,AAPL ,255,276,264
3/2/2026,AMZN ,199,214,210
3/2/2026,META ,628,661,648
3/2/2026,GOOGL ,297,316,312
3/2/2026,NFLX ,83,99,96
3/2/2026,TSLA ,395,419,403
3/2/2026,NVDA ,171,188,177
3/2/2026,ORCL ,135,161,145
3/3/2026,MSFT ,382,404,399
3/3/2026,AAPL ,256,274,265
3/3/2026,AMZN ,198,214,208
3/3/2026,META ,632,662,654
3/3/2026,GOOGL ,297,315,307
3/3/2026,NFLX ,85,99,97
3/3/2026,TSLA ,394,417,403
3/3/2026,NVDA ,171,187,182
3/3/2026,ORCL ,136,160,149
3/4/2026,MSFT ,383,410,404
3/4/2026,AAPL ,256,274,264
3/4/2026,AMZN ,200,213,209
3/4/2026,META ,633,664,655
3/4/2026,GOOGL ,298,315,304
3/4/2026,NFLX ,87,105,98
3/4/2026,TSLA ,388,415,392
3/4/2026,NVDA ,171,186,180
3/4/2026,ORCL ,136,157,149
3/5/2026,MSFT ,382,412,405
3/5/2026,AAPL ,255,271,263
3/5/2026,AMZN ,201,219,217
3/5/2026,META ,634,672,668
3/5/2026,GOOGL ,297,314,303
3/5/2026,NFLX ,88,107,99
3/5/2026,TSLA ,387,416,406
3/5/2026,NVDA ,173,187,183
3/5/2026,ORCL ,137,156,152
3/6/2026,MSFT ,381,415,411
3/6/2026,AAPL ,255,269,260
3/6/2026,AMZN ,200,220,219
3/6/2026,META ,635,672,661
3/6/2026,GOOGL ,295,312,301
3/6/2026,NFLX ,90,110,99
3/6/2026,TSLA ,388,416,406
3/6/2026,NVDA ,172,190,183
3/6/2026,ORCL ,138,158,155
3/9/2026,MSFT ,384,415,409
3/9/2026,AAPL ,247,266,257
3/9/2026,AMZN ,198,221,213
3/9/2026,META ,632,667,645
3/9/2026,GOOGL ,292,311,299
3/9/2026,NFLX ,88,107,99
3/9/2026,TSLA ,384,413,397
3/9/2026,NVDA ,168,186,178
3/9/2026,ORCL ,136,158,153
3/10/2026,MSFT ,392,416,409
3/10/2026,AAPL ,251,266,260
3/10/2026,AMZN ,201,220,213
3/10/2026,META ,637,667,647
3/10/2026,GOOGL ,295,312,306
3/10/2026,NFLX ,92,105,98
3/10/2026,TSLA ,386,412,399
3/10/2026,NVDA ,171,187,183
3/10/2026,ORCL ,136,159,152
3/11/2026,MSFT ,390,414,406
3/11/2026,AAPL ,252,267,261
3/11/2026,AMZN ,202,221,214
3/11/2026,META ,638,668,654
3/11/2026,GOOGL ,296,311,307
3/11/2026,NFLX ,90,101,97
3/11/2026,TSLA ,388,411,399
3/11/2026,NVDA ,175,188,185
3/11/2026,ORCL ,142,165,149
3/12/2026,MSFT ,391,414,405
3/12/2026,AAPL ,255,266,261
3/12/2026,AMZN ,203,219,213
3/12/2026,META ,637,667,655
3/12/2026,GOOGL ,296,312,309
3/12/2026,NFLX ,92,102,95
3/12/2026,TSLA ,389,412,408
3/12/2026,NVDA ,175,188,186
3/12/2026,ORCL ,140,166,163
3/13/2026,MSFT ,386,412,402
3/13/2026,AAPL ,252,264,256
3/13/2026,AMZN ,199,218,210
3/13/2026,META ,634,660,638
3/13/2026,GOOGL ,294,310,304
3/13/2026,NFLX ,92,103,94
3/13/2026,TSLA ,386,410,395
3/13/2026,NVDA ,176,187,183
3/13/2026,ORCL ,141,165,159
3/16/2026,MSFT ,389,411,396
3/16/2026,AAPL ,247,262,250
3/16/2026,AMZN ,202,218,208
3/16/2026,META ,605,651,614
3/16/2026,GOOGL ,295,311,302
3/16/2026,NFLX ,93,102,95
3/16/2026,TSLA ,384,408,391
3/16/2026,NVDA ,172,186,180
3/16/2026,ORCL ,143,164,155
3/17/2026,MSFT ,390,410,400
3/17/2026,AAPL ,246,260,253
3/17/2026,AMZN ,205,219,212
3/17/2026,META ,610,648,627
3/17/2026,GOOGL ,295,310,306
3/17/2026,NFLX ,92,102,95
3/17/2026,TSLA ,386,407,396
3/17/2026,NVDA ,175,186,183
3/17/2026,ORCL ,145,163,156
3/18/2026,MSFT ,392,411,399
3/18/2026,AAPL ,247,261,254
3/18/2026,AMZN ,205,219,215
3/18/2026,META ,607,646,623
3/18/2026,GOOGL ,296,315,311
3/18/2026,NFLX ,91,101,94
3/18/2026,TSLA ,387,407,399
3/18/2026,NVDA ,176,186,182
3/18/2026,ORCL ,146,163,155
3/19/2026,MSFT ,385,407,392
3/19/2026,AAPL ,244,260,250
3/19/2026,AMZN ,206,218,210
3/19/2026,META ,601,643,616
3/19/2026,GOOGL ,297,313,308
3/19/2026,NFLX ,91,100,95
3/19/2026,TSLA ,385,405,393
3/19/2026,NVDA ,172,185,180
3/19/2026,ORCL ,145,162,153
3/20/2026,MSFT ,385,406,389
3/20/2026,AAPL ,243,258,249
3/20/2026,AMZN ,199,215,209
3/20/2026,META ,593,633,607
3/20/2026,GOOGL ,299,314,307
3/20/2026,NFLX ,90,100,92
3/20/2026,TSLA ,376,403,380
3/20/2026,NVDA ,172,185,179
3/20/2026,ORCL ,145,163,156
3/23/2026,MSFT ,378,404,382
3/23/2026,AAPL ,242,257,248
3/23/2026,AMZN ,198,215,205
3/23/2026,META ,584,626,594
3/23/2026,GOOGL ,295,310,301
3/23/2026,NFLX ,87,96,92
3/23/2026,TSLA ,360,394,368
3/23/2026,NVDA ,168,182,173
3/23/2026,ORCL ,138,162,150
3/24/2026,MSFT ,376,402,383
3/24/2026,AAPL ,243,258,251
3/24/2026,AMZN ,201,216,210
3/24/2026,META ,582,628,604
3/24/2026,GOOGL ,296,310,302
3/24/2026,NFLX ,89,96,93
3/24/2026,TSLA ,364,399,381
3/24/2026,NVDA ,170,182,176
3/24/2026,ORCL ,142,163,154
3/25/2026,MSFT ,369,392,373
3/25/2026,AAPL ,245,257,252
3/25/2026,AMZN ,202,216,207
3/25/2026,META ,582,627,593
3/25/2026,GOOGL ,285,303,290
3/25/2026,NFLX ,88,95,91
3/25/2026,TSLA ,366,398,383
3/25/2026,NVDA ,170,181,175
3/25/2026,ORCL ,143,160,147
3/26/2026,MSFT ,361,390,371
3/26/2026,AAPL ,245,255,253
3/26/2026,AMZN ,201,215,212
3/26/2026,META ,581,626,595
3/26/2026,GOOGL ,285,301,291
3/26/2026,NFLX ,89,94,92
3/26/2026,TSLA ,367,397,386
3/26/2026,NVDA ,171,181,179
3/26/2026,ORCL ,141,156,146
3/27/2026,MSFT ,358,384,366
3/27/2026,AAPL ,245,255,253
3/27/2026,AMZN ,201,214,208
3/27/2026,META ,540,601,548
3/27/2026,GOOGL ,275,299,281
3/27/2026,NFLX ,88,95,93
3/27/2026,TSLA ,361,387,372
3/27/2026,NVDA ,166,179,171
3/27/2026,ORCL ,137,154,143
3/30/2026,MSFT ,351,392,357
3/30/2026,AAPL ,245,254,249
3/30/2026,AMZN ,196,211,199
3/30/2026,META ,521,591,526
3/30/2026,GOOGL ,270,295,274
3/30/2026,NFLX ,89,96,93
3/30/2026,TSLA ,357,386,362
3/30/2026,NVDA ,164,178,168
3/30/2026,ORCL ,136,154,140
3/31/2026,MSFT ,349,390,359
3/31/2026,AAPL ,243,253,247
3/31/2026,AMZN ,196,210,201
3/31/2026,META ,515,579,536
3/31/2026,GOOGL ,265,292,274
