ticker,date
TSLA,2023-10-18
TSLA,2023-07-19
TSLA,2023-04-19
TSLA,2023-01-25
TSLA,2022-10-19
TSLA,2022-07-20
TSLA,2022-04-20
TSLA,2022-01-26
TSLA,2021-10-20
TSLA,2021-07-26
TSLA,2021-04-26
TSLA,2021-01-27
TSLA,2020-10-21
TSLA,2020-07-22
TSLA,2020-04-29
TSLA,2020-01-29
TSLA,2019-10-23
TSLA,2019-07-24
TSLA,2019-04-24
TSLA,2019-01-30
TSLA,2018-10-24
TSLA,2018-08-01
TSLA,2018-05-02
TSLA,2018-02-07
TSLA,2017-11-01
TSLA,2017-08-02
TSLA,2017-05-03
TSLA,2017-02-22
TSLA,2016-10-26
TSLA,2016-08-03
TSLA,2016-05-04
TSLA,2016-02-10
TSLA,2015-11-03
TSLA,2015-08-05
TSLA,2015-05-06
TSLA,2015-02-11
TSLA,2014-11-05
TSLA,2014-07-31
TSLA,2014-05-09
